2.045111  9.526371
2.186243  9.526278
2.312518  9.526194
2.498197  9.524313
2.646757  9.524215
2.847313  9.524083
3.047847  9.522191
3.255831  9.522054
3.538074  9.520109
3.679205  9.520016
3.835214  9.521672
3.961489  9.521589
4.080316  9.519751
4.236304  9.519648
4.362580  9.519565
4.496283  9.519477
4.615090  9.515880
4.726551  9.519325
4.904781  9.515689
5.164740  9.513759
5.305872  9.513666
5.454410  9.511809
5.595542  9.511715
5.736591  9.504586
5.825644  9.497491
5.884840  9.478103
5.936671  9.463996
5.958789  9.449909
5.951134  9.430565
5.921132  9.405958
5.898579  9.383105
5.838803  9.353241
5.756785  9.326910
5.697175  9.311118
5.592728  9.272488
5.518159  9.247910
5.428733  9.223343
5.317045  9.200549
5.160643  9.165471
5.086136  9.146171
4.974468  9.125136
4.907430  9.109349
4.803189  9.088309
4.676707  9.070802
4.579936  9.053276
4.475696  9.032236
4.371518  9.016473
4.267340  9.000710
4.133409  8.981449
3.992050  8.962193
3.798632  8.937694
3.634948  8.914935
3.478732  8.895688
3.307641  8.874693
3.084491  8.848454
2.935724  8.830962
2.772122  8.815238
2.615907  8.795992
2.430021  8.780283
2.266419  8.764560
2.117674  8.748826
2.021048  8.743613
