              log_Mi              initial_q                     Pi                    M1f                    M2f                     Pf                 CaseBB      merge_fraction_NS    disrupt_fraction_NS      merge_fraction_BH    disrupt_fraction_BH   
        1.750000e+00           1.000000e-01           6.000000e-01           5.031705e+01           1.367771e+00           7.234567e+01           1.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00   
        2.200000e+00           1.000000e-01           7.000000e-01           1.497262e+02           6.453675e+00           1.933270e+01           0.000000e+00           7.010680e-02           4.667046e-01           0.000000e+00           0.000000e+00   
        2.200000e+00           1.000000e-01           7.500000e-01           1.496083e+02           6.454452e+00           1.936110e+01           0.000000e+00           7.004734e-02           4.667046e-01           0.000000e+00           0.000000e+00   
        2.250000e+00           1.000000e-01           7.500000e-01           1.667117e+02           7.613021e+00           1.707479e+01           0.000000e+00           7.932214e-02           4.289640e-01           0.000000e+00           0.000000e+00   
        2.200000e+00           1.000000e-01           8.000000e-01           1.497621e+02           6.453025e+00           1.918654e+01           0.000000e+00           7.062990e-02           4.648965e-01           0.000000e+00           0.000000e+00   
        2.250000e+00           1.000000e-01           8.000000e-01           1.655804e+02           7.615383e+00           1.723117e+01           0.000000e+00           7.866287e-02           4.338488e-01           0.000000e+00           0.000000e+00   
        2.300000e+00           1.000000e-01           8.000000e-01           1.781448e+02           8.986354e+00           1.598569e+01           0.000000e+00           8.279088e-02           4.127555e-01           0.000000e+00           0.000000e+00   
        2.350000e+00           1.000000e-01           8.000000e-01           1.997593e+02           1.050224e+01           1.400404e+01           0.000000e+00           9.116686e-02           3.731736e-01           0.000000e+00           0.000000e+00   
        2.200000e+00           1.000000e-01           8.500000e-01           1.482712e+02           6.454090e+00           1.931629e+01           0.000000e+00           7.010022e-02           4.677775e-01           0.000000e+00           0.000000e+00   
        2.250000e+00           1.000000e-01           8.500000e-01           1.616782e+02           7.620312e+00           1.765458e+01           0.000000e+00           7.654153e-02           4.407163e-01           0.000000e+00           0.000000e+00   
        2.300000e+00           1.000000e-01           8.500000e-01           1.776324e+02           8.987679e+00           1.602310e+01           0.000000e+00           8.265901e-02           4.127555e-01           0.000000e+00           0.000000e+00   
        2.350000e+00           1.000000e-01           8.500000e-01           2.007499e+02           1.051143e+01           1.422201e+01           0.000000e+00           9.009973e-02           3.752042e-01           0.000000e+00           0.000000e+00   
        2.400000e+00           1.000000e-01           8.500000e-01           1.975568e+02           1.211790e+01           1.163188e+01           0.000000e+00           1.015101e-01           3.494746e-01           0.000000e+00           0.000000e+00   
        2.200000e+00           1.000000e-01           9.000000e-01           1.465630e+02           6.451902e+00           1.911434e+01           0.000000e+00           7.038304e-02           4.683671e-01           0.000000e+00           0.000000e+00   
        2.250000e+00           1.000000e-01           9.000000e-01           1.568089e+02           7.627078e+00           1.803855e+01           0.000000e+00           7.470740e-02           4.487859e-01           0.000000e+00           0.000000e+00   
        2.300000e+00           1.000000e-01           9.000000e-01           1.769764e+02           8.989025e+00           1.607680e+01           0.000000e+00           8.259146e-02           4.133644e-01           0.000000e+00           0.000000e+00   
        2.350000e+00           1.000000e-01           9.000000e-01           1.992185e+02           1.050387e+01           1.391250e+01           0.000000e+00           9.167383e-02           3.731736e-01           0.000000e+00           0.000000e+00   
        2.400000e+00           1.000000e-01           9.000000e-01           2.127364e+02           1.213502e+01           1.260457e+01           0.000000e+00           9.678801e-02           3.494103e-01           0.000000e+00           0.000000e+00   
        2.250000e+00           1.000000e-01           9.500000e-01           1.556615e+02           7.622629e+00           1.789648e+01           0.000000e+00           7.508905e-02           4.487859e-01           0.000000e+00           0.000000e+00   
        2.300000e+00           1.000000e-01           9.500000e-01           1.761853e+02           8.985949e+00           1.600357e+01           0.000000e+00           8.281814e-02           4.133644e-01           0.000000e+00           0.000000e+00   
        2.350000e+00           1.000000e-01           9.500000e-01           1.959262e+02           1.051034e+01           1.411963e+01           0.000000e+00           9.023387e-02           3.769425e-01           0.000000e+00           0.000000e+00   
        2.400000e+00           1.000000e-01           9.500000e-01           2.179633e+02           1.214512e+01           1.321158e+01           0.000000e+00           9.454858e-02           3.531304e-01           0.000000e+00           0.000000e+00   
        2.450000e+00           1.000000e-01           9.500000e-01           2.062331e+02           1.388604e+01           1.082152e+01           0.000000e+00           1.057698e-01           3.352617e-01           0.000000e+00           0.000000e+00   
        2.400000e+00           1.000000e-01           1.000000e+00           2.163627e+02           1.215238e+01           1.343561e+01           0.000000e+00           9.332245e-02           3.554897e-01           0.000000e+00           0.000000e+00   
        2.450000e+00           1.000000e-01           1.000000e+00           2.300741e+02           1.390416e+01           1.212581e+01           0.000000e+00           9.822506e-02           3.344464e-01           0.000000e+00           0.000000e+00   
        2.450000e+00           1.000000e-01           1.050000e+00           2.358130e+02           1.391402e+01           1.282731e+01           0.000000e+00           9.473092e-02           3.369769e-01           0.000000e+00           0.000000e+00   
        2.500000e+00           1.000000e-01           1.050000e+00           2.280213e+02           1.588573e+01           1.076316e+01           0.000000e+00           1.048372e-01           3.188488e-01           0.000000e+00           0.000000e+00   
        2.500000e+00           1.000000e-01           1.100000e+00           2.493026e+02           1.590070e+01           1.190409e+01           0.000000e+00           9.803068e-02           3.194577e-01           0.000000e+00           0.000000e+00   
