              log_Mi              initial_q                     Pi                    M1f                    M2f                     Pf                 CaseBB      merge_fraction_NS    disrupt_fraction_NS      merge_fraction_BH    disrupt_fraction_BH   
        1.750000e+00           1.000000e-01           7.500000e-01           5.385845e+01           1.453362e+00           6.996631e+01           1.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00   
        1.750000e+00           1.000000e-01           8.000000e-01           5.456705e+01           1.459498e+00           7.206590e+01           1.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00   
        2.150000e+00           1.000000e-01           9.500000e-01           1.367967e+02           5.544429e+00           2.720371e+01           0.000000e+00           5.040390e-02           5.368488e-01           0.000000e+00           0.000000e+00   
        2.150000e+00           1.000000e-01           1.000000e+00           1.371341e+02           5.547194e+00           2.763906e+01           0.000000e+00           4.972712e-02           5.387253e-01           0.000000e+00           0.000000e+00   
        2.200000e+00           1.000000e-01           1.000000e+00           1.529259e+02           6.513162e+00           2.456898e+01           0.000000e+00           5.763507e-02           5.033999e-01           0.000000e+00           0.000000e+00   
        2.250000e+00           1.000000e-01           1.000000e+00           1.695126e+02           7.643195e+00           2.174736e+01           0.000000e+00           6.537811e-02           4.661120e-01           0.000000e+00           0.000000e+00   
        2.150000e+00           1.000000e-01           1.050000e+00           1.352021e+02           5.552140e+00           2.855410e+01           0.000000e+00           4.759895e-02           5.490837e-01           0.000000e+00           0.000000e+00   
        2.200000e+00           1.000000e-01           1.050000e+00           1.513028e+02           6.517709e+00           2.531607e+01           0.000000e+00           5.545459e-02           5.080419e-01           0.000000e+00           0.000000e+00   
        2.250000e+00           1.000000e-01           1.050000e+00           1.695261e+02           7.647213e+00           2.224952e+01           0.000000e+00           6.421657e-02           4.697339e-01           0.000000e+00           0.000000e+00   
        2.300000e+00           1.000000e-01           1.050000e+00           1.860468e+02           8.980897e+00           1.929241e+01           0.000000e+00           7.261117e-02           4.338488e-01           0.000000e+00           0.000000e+00   
        2.200000e+00           1.000000e-01           1.100000e+00           1.483941e+02           6.524456e+00           2.630654e+01           0.000000e+00           5.335513e-02           5.192726e-01           0.000000e+00           0.000000e+00   
        2.250000e+00           1.000000e-01           1.100000e+00           1.664252e+02           7.653734e+00           2.320765e+01           0.000000e+00           6.151021e-02           4.796641e-01           0.000000e+00           0.000000e+00   
        2.300000e+00           1.000000e-01           1.100000e+00           1.874057e+02           8.987955e+00           1.990556e+01           0.000000e+00           7.068972e-02           4.371848e-01           0.000000e+00           0.000000e+00   
        2.350000e+00           1.000000e-01           1.100000e+00           1.854671e+02           1.049863e+01           1.580980e+01           0.000000e+00           8.277996e-02           4.054815e-01           0.000000e+00           0.000000e+00   
        2.200000e+00           1.000000e-01           1.150000e+00           1.481702e+02           6.527773e+00           2.674090e+01           0.000000e+00           5.266132e-02           5.214372e-01           0.000000e+00           0.000000e+00   
        2.250000e+00           1.000000e-01           1.150000e+00           1.660035e+02           7.657775e+00           2.362849e+01           0.000000e+00           6.049470e-02           4.854238e-01           0.000000e+00           0.000000e+00   
        2.300000e+00           1.000000e-01           1.150000e+00           1.845192e+02           8.996407e+00           2.081047e+01           0.000000e+00           6.811696e-02           4.476323e-01           0.000000e+00           0.000000e+00   
        2.350000e+00           1.000000e-01           1.150000e+00           2.023968e+02           1.052694e+01           1.753542e+01           0.000000e+00           7.823341e-02           4.060742e-01           0.000000e+00           0.000000e+00   
        2.200000e+00           1.000000e-01           1.200000e+00           1.477104e+02           6.531117e+00           2.725426e+01           0.000000e+00           5.132024e-02           5.270663e-01           0.000000e+00           0.000000e+00   
        2.250000e+00           1.000000e-01           1.200000e+00           1.659055e+02           7.659514e+00           2.406379e+01           0.000000e+00           5.967113e-02           4.880787e-01           0.000000e+00           0.000000e+00   
        2.300000e+00           1.000000e-01           1.200000e+00           1.847878e+02           9.001198e+00           2.120130e+01           0.000000e+00           6.731476e-02           4.493785e-01           0.000000e+00           0.000000e+00   
        2.350000e+00           1.000000e-01           1.200000e+00           2.043398e+02           1.053972e+01           1.851089e+01           0.000000e+00           7.520694e-02           4.139160e-01           0.000000e+00           0.000000e+00   
        2.400000e+00           1.000000e-01           1.200000e+00           2.062087e+02           1.219008e+01           1.532884e+01           0.000000e+00           8.440623e-02           3.856676e-01           0.000000e+00           0.000000e+00   
        2.200000e+00           1.000000e-01           1.250000e+00           1.456124e+02           6.527012e+00           2.663003e+01           0.000000e+00           5.229431e-02           5.252969e-01           0.000000e+00           0.000000e+00   
        2.250000e+00           1.000000e-01           1.250000e+00           1.636518e+02           7.660073e+00           2.383544e+01           0.000000e+00           5.982001e-02           4.880787e-01           0.000000e+00           0.000000e+00   
        2.300000e+00           1.000000e-01           1.250000e+00           1.843987e+02           9.005075e+00           2.169959e+01           0.000000e+00           6.624037e-02           4.546234e-01           0.000000e+00           0.000000e+00   
        2.350000e+00           1.000000e-01           1.250000e+00           2.044408e+02           1.054800e+01           1.908099e+01           0.000000e+00           7.349447e-02           4.176413e-01           0.000000e+00           0.000000e+00   
        2.400000e+00           1.000000e-01           1.250000e+00           2.197862e+02           1.222071e+01           1.659925e+01           0.000000e+00           8.086198e-02           3.862765e-01           0.000000e+00           0.000000e+00   
