              log_Mi              initial_q                     Pi                    M1f                    M2f                     Pf                 CaseBB      merge_fraction_NS    disrupt_fraction_NS      merge_fraction_BH    disrupt_fraction_BH   
        1.750000e+00           1.000000e-01           1.200000e+00           3.399661e+01           1.007157e+00           3.515883e+02           1.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00   
        1.800000e+00           1.000000e-01           1.250000e+00           3.599354e+01           1.656893e+00           1.176555e+02           1.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00   
        1.800000e+00           1.000000e-01           1.300000e+00           3.755229e+01           1.090096e+00           4.528962e+02           1.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00   
        1.850000e+00           1.000000e-01           1.300000e+00           3.711860e+01           1.958208e+00           9.140478e+01           1.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00   
        1.850000e+00           1.000000e-01           1.350000e+00           3.983675e+01           1.854024e+00           1.415876e+02           1.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00   
        1.850000e+00           1.000000e-01           1.400000e+00           4.095575e+01           1.206301e+00           5.413471e+02           1.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00   
        1.900000e+00           1.000000e-01           1.400000e+00           4.185684e+01           2.395962e+00           9.505085e+01           1.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00   
        1.900000e+00           1.000000e-01           1.450000e+00           4.342273e+01           2.404905e+00           1.057183e+02           1.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00   
        1.950000e+00           1.000000e-01           1.450000e+00           4.274636e+01           2.834107e+00           7.784308e+01           0.000000e+00           4.960297e-03           8.668879e-01           0.000000e+00           2.224001e-03   
        1.900000e+00           1.000000e-01           1.500000e+00           4.440364e+01           2.413751e+00           1.121192e+02           1.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00   
        1.950000e+00           1.000000e-01           1.500000e+00           4.547916e+01           2.844853e+00           9.165260e+01           0.000000e+00           3.958899e-03           8.788241e-01           0.000000e+00           3.823647e-03   
        1.950000e+00           1.000000e-01           1.550000e+00           4.689887e+01           2.850075e+00           1.002351e+02           0.000000e+00           3.318493e-03           8.819391e-01           0.000000e+00           4.301964e-03   
        2.000000e+00           1.000000e-01           1.550000e+00           4.698883e+01           3.399128e+00           7.594599e+01           0.000000e+00           5.424851e-03           8.563247e-01           0.000000e+00           1.449293e-03   
        1.950000e+00           1.000000e-01           1.600000e+00           4.795255e+01           2.853117e+00           1.062199e+02           0.000000e+00           3.139933e-03           8.867660e-01           0.000000e+00           5.377726e-03   
        2.000000e+00           1.000000e-01           1.600000e+00           4.926437e+01           3.407269e+00           8.642561e+01           0.000000e+00           4.646505e-03           8.635110e-01           0.000000e+00           2.224001e-03   
        2.050000e+00           1.000000e-01           1.600000e+00           4.590605e+01           3.978142e+00           5.690182e+01           0.000000e+00           8.541956e-03           8.259914e-01           0.000000e+00           0.000000e+00   
        2.000000e+00           1.000000e-01           1.650000e+00           5.053909e+01           3.411541e+00           9.311903e+01           0.000000e+00           4.139108e-03           8.695481e-01           0.000000e+00           2.446596e-03   
        2.050000e+00           1.000000e-01           1.650000e+00           5.110997e+01           4.015392e+00           7.602924e+01           0.000000e+00           5.815380e-03           8.478146e-01           0.000000e+00           7.865751e-04   
        2.000000e+00           1.000000e-01           1.700000e+00           5.162786e+01           3.414499e+00           9.796607e+01           0.000000e+00           3.848743e-03           8.727877e-01           0.000000e+00           2.840550e-03   
        2.050000e+00           1.000000e-01           1.700000e+00           5.298943e+01           4.020522e+00           8.371813e+01           0.000000e+00           5.127842e-03           8.541706e-01           0.000000e+00           1.044119e-03   
        2.100000e+00           1.000000e-01           1.700000e+00           5.011102e+01           4.716271e+00           5.902230e+01           0.000000e+00           8.634023e-03           8.208861e-01           0.000000e+00           0.000000e+00   
