              log_Mi              initial_q                     Pi                    M1f                    M2f                     Pf                 CaseBB      merge_fraction_NS    disrupt_fraction_NS      merge_fraction_BH    disrupt_fraction_BH   
        1.650000e+00           1.000000e-01           9.000000e-01           3.700433e+01           1.106914e+00           8.545542e+01           1.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00   
        1.700000e+00           1.000000e-01           9.500000e-01           4.089736e+01           1.279990e+00           8.433481e+01           1.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00   
        1.750000e+00           1.000000e-01           1.000000e+00           4.501644e+01           1.480096e+00           8.143641e+01           1.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00   
        1.800000e+00           1.000000e-01           1.050000e+00           4.938337e+01           1.701214e+00           7.961661e+01           1.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00   
        1.800000e+00           1.000000e-01           1.100000e+00           5.002771e+01           1.723055e+00           8.334423e+01           1.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00   
        1.850000e+00           1.000000e-01           1.100000e+00           5.395651e+01           1.973246e+00           7.522016e+01           1.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00   
        1.800000e+00           1.000000e-01           1.150000e+00           4.976582e+01           1.722070e+00           8.053830e+01           1.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00   
        1.850000e+00           1.000000e-01           1.150000e+00           5.485852e+01           2.001699e+00           7.888603e+01           1.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00   
        1.900000e+00           1.000000e-01           1.150000e+00           5.856569e+01           2.394373e+00           6.148626e+01           1.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00   
        1.850000e+00           1.000000e-01           1.200000e+00           5.532501e+01           2.005148e+00           8.274502e+01           1.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00   
        1.900000e+00           1.000000e-01           1.200000e+00           5.980250e+01           2.432074e+00           6.437144e+01           1.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00   
        1.950000e+00           1.000000e-01           1.200000e+00           5.993542e+01           2.784103e+00           4.986927e+01           1.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00   
        2.450000e+00           1.000000e-01           1.900000e+00           1.316458e+02           1.403600e+01           3.162312e+01           0.000000e+00           3.884717e-02           5.887883e-01           0.000000e+00           0.000000e+00   
        2.400000e+00           1.000000e-01           2.050000e+00           1.323839e+02           1.224028e+01           3.553763e+01           0.000000e+00           3.486613e-02           6.010500e-01           0.000000e+00           0.000000e+00   
        2.450000e+00           1.000000e-01           2.050000e+00           1.353326e+02           1.405081e+01           3.315594e+01           0.000000e+00           3.743377e-02           5.904533e-01           0.000000e+00           0.000000e+00   
        2.500000e+00           1.000000e-01           2.050000e+00           1.341649e+02           1.606044e+01           2.887709e+01           0.000000e+00           4.213127e-02           5.721469e-01           0.000000e+00           0.000000e+00   
        2.400000e+00           1.000000e-01           2.100000e+00           1.345762e+02           1.225003e+01           3.677726e+01           0.000000e+00           3.371938e-02           6.028194e-01           0.000000e+00           0.000000e+00   
        2.450000e+00           1.000000e-01           2.100000e+00           1.388762e+02           1.406774e+01           3.477718e+01           0.000000e+00           3.613669e-02           5.925858e-01           0.000000e+00           0.000000e+00   
        2.500000e+00           1.000000e-01           2.100000e+00           1.405642e+02           1.608400e+01           3.165878e+01           0.000000e+00           3.951220e-02           5.780086e-01           0.000000e+00           0.000000e+00   
        2.350000e+00           1.000000e-01           2.150000e+00           1.306462e+02           1.040335e+01           4.324824e+01           0.000000e+00           2.800006e-02           6.325223e-01           0.000000e+00           0.000000e+00   
        2.400000e+00           1.000000e-01           2.150000e+00           1.364965e+02           1.225972e+01           3.784946e+01           0.000000e+00           3.273772e-02           6.069621e-01           0.000000e+00           0.000000e+00   
        2.450000e+00           1.000000e-01           2.150000e+00           1.416939e+02           1.407940e+01           3.615069e+01           0.000000e+00           3.489748e-02           5.954034e-01           0.000000e+00           0.000000e+00   
        2.500000e+00           1.000000e-01           2.150000e+00           1.451004e+02           1.610137e+01           3.376422e+01           0.000000e+00           3.752101e-02           5.847555e-01           0.000000e+00           0.000000e+00   
        2.350000e+00           1.000000e-01           2.200000e+00           1.316158e+02           1.040310e+01           4.413756e+01           0.000000e+00           2.740157e-02           6.340785e-01           0.000000e+00           0.000000e+00   
        2.400000e+00           1.000000e-01           2.200000e+00           1.381352e+02           1.226816e+01           3.885767e+01           0.000000e+00           3.214656e-02           6.087266e-01           0.000000e+00           0.000000e+00   
        2.450000e+00           1.000000e-01           2.200000e+00           1.439326e+02           1.409287e+01           3.733882e+01           0.000000e+00           3.397643e-02           5.979561e-01           0.000000e+00           0.000000e+00   
        2.500000e+00           1.000000e-01           2.200000e+00           1.487122e+02           1.611666e+01           3.546373e+01           0.000000e+00           3.592312e-02           5.878269e-01           0.000000e+00           0.000000e+00   
        2.350000e+00           1.000000e-01           2.250000e+00           1.325721e+02           1.038642e+01           4.507476e+01           0.000000e+00           2.695688e-02           6.367482e-01           0.000000e+00           0.000000e+00   
        2.400000e+00           1.000000e-01           2.250000e+00           1.395390e+02           1.227651e+01           3.981261e+01           0.000000e+00           3.136681e-02           6.103365e-01           0.000000e+00           0.000000e+00   
        2.450000e+00           1.000000e-01           2.250000e+00           1.460068e+02           1.410433e+01           3.835813e+01           0.000000e+00           3.313700e-02           5.985373e-01           0.000000e+00           0.000000e+00   
        2.500000e+00           1.000000e-01           2.250000e+00           1.514965e+02           1.613132e+01           3.685819e+01           0.000000e+00           3.484502e-02           5.899854e-01           0.000000e+00           0.000000e+00   
        2.350000e+00           1.000000e-01           2.300000e+00           1.333249e+02           1.038928e+01           4.564011e+01           0.000000e+00           2.662432e-02           6.391072e-01           0.000000e+00           0.000000e+00   
        2.400000e+00           1.000000e-01           2.300000e+00           1.405921e+02           1.205157e+01           4.324139e+01           0.000000e+00           2.876411e-02           6.230733e-01           0.000000e+00           0.000000e+00   
        2.450000e+00           1.000000e-01           2.300000e+00           1.477272e+02           1.411638e+01           3.931832e+01           0.000000e+00           3.255254e-02           6.005820e-01           0.000000e+00           0.000000e+00   
        2.500000e+00           1.000000e-01           2.300000e+00           1.538830e+02           1.613971e+01           3.814794e+01           0.000000e+00           3.398620e-02           5.922498e-01           0.000000e+00           0.000000e+00   
        2.350000e+00           1.000000e-01           2.350000e+00           1.334118e+02           1.038847e+01           4.604576e+01           0.000000e+00           2.626512e-02           6.404989e-01           0.000000e+00           0.000000e+00   
        2.400000e+00           1.000000e-01           2.350000e+00           1.418795e+02           1.204930e+01           4.422282e+01           0.000000e+00           2.831979e-02           6.254462e-01           0.000000e+00           0.000000e+00   
        2.450000e+00           1.000000e-01           2.350000e+00           1.492891e+02           1.412682e+01           4.020998e+01           0.000000e+00           3.177797e-02           6.022035e-01           0.000000e+00           0.000000e+00   
        2.500000e+00           1.000000e-01           2.350000e+00           1.560168e+02           1.614998e+01           3.921652e+01           0.000000e+00           3.317860e-02           5.944966e-01           0.000000e+00           0.000000e+00   
        2.350000e+00           1.000000e-01           2.400000e+00           1.304998e+02           1.038181e+01           4.509027e+01           0.000000e+00           2.663551e-02           6.416937e-01           0.000000e+00           0.000000e+00   
        2.400000e+00           1.000000e-01           2.400000e+00           1.430722e+02           1.204222e+01           4.508774e+01           0.000000e+00           2.788791e-02           6.271193e-01           0.000000e+00           0.000000e+00   
        2.450000e+00           1.000000e-01           2.400000e+00           1.508089e+02           1.413378e+01           4.100871e+01           0.000000e+00           3.126907e-02           6.028194e-01           0.000000e+00           0.000000e+00   
        2.500000e+00           1.000000e-01           2.400000e+00           1.577676e+02           1.616118e+01           4.027206e+01           0.000000e+00           3.205532e-02           5.965506e-01           0.000000e+00           0.000000e+00   
        2.400000e+00           1.000000e-01           2.450000e+00           1.429413e+02           1.205516e+01           4.543521e+01           0.000000e+00           2.774628e-02           6.276530e-01           0.000000e+00           0.000000e+00   
        2.450000e+00           1.000000e-01           2.450000e+00           1.518517e+02           1.392363e+01           4.393570e+01           0.000000e+00           2.938087e-02           6.138986e-01           0.000000e+00           0.000000e+00   
        2.500000e+00           1.000000e-01           2.450000e+00           1.594978e+02           1.616931e+01           4.119280e+01           0.000000e+00           3.157080e-02           5.976317e-01           0.000000e+00           0.000000e+00   
        2.400000e+00           1.000000e-01           2.500000e+00           1.416909e+02           1.204976e+01           4.498096e+01           0.000000e+00           2.778757e-02           6.276530e-01           0.000000e+00           0.000000e+00   
        2.450000e+00           1.000000e-01           2.500000e+00           1.529764e+02           1.391893e+01           4.486036e+01           0.000000e+00           2.885016e-02           6.149824e-01           0.000000e+00           0.000000e+00   
        2.500000e+00           1.000000e-01           2.500000e+00           1.610396e+02           1.617390e+01           4.203759e+01           0.000000e+00           3.109806e-02           5.997668e-01           0.000000e+00           0.000000e+00   
        2.400000e+00           1.000000e-01           2.550000e+00           1.405103e+02           1.204699e+01           4.526741e+01           0.000000e+00           2.733608e-02           6.307488e-01           0.000000e+00           0.000000e+00   
        2.450000e+00           1.000000e-01           2.550000e+00           1.541201e+02           1.395852e+01           4.529250e+01           0.000000e+00           2.867731e-02           6.155499e-01           0.000000e+00           0.000000e+00   
        2.500000e+00           1.000000e-01           2.550000e+00           1.624408e+02           1.618538e+01           4.277981e+01           0.000000e+00           3.069660e-02           6.003594e-01           0.000000e+00           0.000000e+00   
        2.400000e+00           1.000000e-01           2.600000e+00           1.397626e+02           1.204877e+01           4.517351e+01           0.000000e+00           2.742506e-02           6.307488e-01           0.000000e+00           0.000000e+00   
        2.450000e+00           1.000000e-01           2.600000e+00           1.519665e+02           1.394592e+01           4.490658e+01           0.000000e+00           2.863130e-02           6.172599e-01           0.000000e+00           0.000000e+00   
