              log_Mi              initial_q                     Pi                    M1f                    M2f                     Pf                 CaseBB      merge_fraction_NS    disrupt_fraction_NS      merge_fraction_BH    disrupt_fraction_BH   
        1.700000e+00           1.000000e-01           8.500000e-01           4.475545e+01           1.290723e+00           7.662314e+01           1.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00   
        1.750000e+00           1.000000e-01           8.500000e-01           5.073832e+01           1.473645e+00           7.057456e+01           1.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00   
        1.750000e+00           1.000000e-01           9.000000e-01           5.076453e+01           1.474278e+00           7.070710e+01           1.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00   
        1.800000e+00           1.000000e-01           9.000000e-01           5.666236e+01           1.690425e+00           6.975610e+01           1.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00   
        1.800000e+00           1.000000e-01           9.500000e-01           5.620035e+01           1.707123e+00           7.308875e+01           1.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00   
        2.300000e+00           1.000000e-01           1.300000e+00           1.395253e+02           8.950175e+00           2.111396e+01           0.000000e+00           6.237535e-02           4.991351e-01           0.000000e+00           0.000000e+00   
        2.250000e+00           1.000000e-01           1.350000e+00           1.393745e+02           7.639118e+00           2.529610e+01           0.000000e+00           5.323240e-02           5.263572e-01           0.000000e+00           0.000000e+00   
        2.300000e+00           1.000000e-01           1.350000e+00           1.496619e+02           8.967241e+00           2.310761e+01           0.000000e+00           5.914132e-02           5.008973e-01           0.000000e+00           0.000000e+00   
        2.350000e+00           1.000000e-01           1.350000e+00           1.399587e+02           1.047339e+01           1.819356e+01           0.000000e+00           6.931439e-02           4.780452e-01           0.000000e+00           0.000000e+00   
        2.250000e+00           1.000000e-01           1.400000e+00           1.419280e+02           7.646970e+00           2.642089e+01           0.000000e+00           5.145284e-02           5.314244e-01           0.000000e+00           0.000000e+00   
        2.300000e+00           1.000000e-01           1.400000e+00           1.456002e+02           8.959733e+00           2.228233e+01           0.000000e+00           6.050671e-02           4.997162e-01           0.000000e+00           0.000000e+00   
        2.350000e+00           1.000000e-01           1.400000e+00           1.562123e+02           1.050150e+01           2.063652e+01           0.000000e+00           6.519486e-02           4.786126e-01           0.000000e+00           0.000000e+00   
        2.250000e+00           1.000000e-01           1.450000e+00           1.426832e+02           7.654123e+00           2.756659e+01           0.000000e+00           4.955826e-02           5.358621e-01           0.000000e+00           0.000000e+00   
        2.300000e+00           1.000000e-01           1.450000e+00           1.528549e+02           8.972554e+00           2.392622e+01           0.000000e+00           5.746979e-02           5.020415e-01           0.000000e+00           0.000000e+00   
        2.350000e+00           1.000000e-01           1.450000e+00           1.474856e+02           1.048805e+01           1.943528e+01           0.000000e+00           6.703980e-02           4.786126e-01           0.000000e+00           0.000000e+00   
        2.250000e+00           1.000000e-01           1.500000e+00           1.438342e+02           7.659074e+00           2.836235e+01           0.000000e+00           4.819645e-02           5.390511e-01           0.000000e+00           0.000000e+00   
        2.300000e+00           1.000000e-01           1.500000e+00           1.555548e+02           8.979597e+00           2.488463e+01           0.000000e+00           5.575546e-02           5.061110e-01           0.000000e+00           0.000000e+00   
        2.350000e+00           1.000000e-01           1.500000e+00           1.603600e+02           1.051101e+01           2.159922e+01           0.000000e+00           6.339295e-02           4.802544e-01           0.000000e+00           0.000000e+00   
        2.400000e+00           1.000000e-01           1.500000e+00           1.410596e+02           1.213985e+01           1.598664e+01           0.000000e+00           7.659673e-02           4.580163e-01           0.000000e+00           0.000000e+00   
        2.450000e+00           1.000000e-01           1.500000e+00           1.634527e+02           1.398944e+01           1.732602e+01           0.000000e+00           7.321021e-02           4.499313e-01           0.000000e+00           0.000000e+00   
        2.200000e+00           1.000000e-01           1.550000e+00           1.322953e+02           6.548095e+00           3.273457e+01           0.000000e+00           4.007236e-02           5.781178e-01           0.000000e+00           0.000000e+00   
        2.250000e+00           1.000000e-01           1.550000e+00           1.447677e+02           7.663189e+00           2.914078e+01           0.000000e+00           4.696379e-02           5.442075e-01           0.000000e+00           0.000000e+00   
        2.300000e+00           1.000000e-01           1.550000e+00           1.566460e+02           8.986480e+00           2.586984e+01           0.000000e+00           5.408312e-02           5.115716e-01           0.000000e+00           0.000000e+00   
        2.350000e+00           1.000000e-01           1.550000e+00           1.666326e+02           1.052204e+01           2.282628e+01           0.000000e+00           6.085152e-02           4.825325e-01           0.000000e+00           0.000000e+00   
        2.400000e+00           1.000000e-01           1.550000e+00           1.662240e+02           1.220715e+01           1.965373e+01           0.000000e+00           6.750556e-02           4.629387e-01           0.000000e+00           0.000000e+00   
        2.450000e+00           1.000000e-01           1.550000e+00           1.780344e+02           1.402628e+01           1.916298e+01           0.000000e+00           6.861700e-02           4.499313e-01           0.000000e+00           0.000000e+00   
        2.250000e+00           1.000000e-01           1.600000e+00           1.453584e+02           7.667383e+00           2.999836e+01           0.000000e+00           4.551063e-02           5.486833e-01           0.000000e+00           0.000000e+00   
        2.300000e+00           1.000000e-01           1.600000e+00           1.580022e+02           8.991760e+00           2.658181e+01           0.000000e+00           5.281305e-02           5.160150e-01           0.000000e+00           0.000000e+00   
        2.350000e+00           1.000000e-01           1.600000e+00           1.696406e+02           1.053053e+01           2.364659e+01           0.000000e+00           5.962336e-02           4.872800e-01           0.000000e+00           0.000000e+00   
