              log_Mi              initial_q                     Pi                    M1f                    M2f                     Pf                 CaseBB      merge_fraction_NS    disrupt_fraction_NS      merge_fraction_BH    disrupt_fraction_BH   
        1.850000e+00           1.000000e-01           1.550000e+00           2.380017e+01           1.390237e+00           4.671622e+02           1.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00   
        1.850000e+00           1.000000e-01           1.600000e+00           2.513973e+01           1.520193e+00           4.409973e+02           1.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00   
        1.900000e+00           1.000000e-01           1.650000e+00           2.579275e+01           1.992687e+00           2.823492e+02           1.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00   
        1.900000e+00           1.000000e-01           1.700000e+00           2.666304e+01           2.095853e+00           2.753771e+02           1.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00   
        1.900000e+00           1.000000e-01           1.750000e+00           2.742582e+01           2.178125e+00           2.692647e+02           1.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00   
        1.950000e+00           1.000000e-01           1.750000e+00           2.729552e+01           2.719961e+00           1.813918e+02           1.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00   
        1.950000e+00           1.000000e-01           1.800000e+00           2.821227e+01           2.725963e+00           2.052910e+02           1.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00   
        2.000000e+00           1.000000e-01           1.800000e+00           2.726740e+01           3.264032e+00           1.380650e+02           0.000000e+00           1.044555e-03           9.450054e-01           0.000000e+00           3.382525e-02   
        1.950000e+00           1.000000e-01           1.850000e+00           2.886193e+01           2.730248e+00           2.222337e+02           1.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00   
        2.000000e+00           1.000000e-01           1.850000e+00           2.893744e+01           3.273951e+00           1.701218e+02           0.000000e+00           7.212740e-04           9.536114e-01           0.000000e+00           4.225010e-02   
        2.000000e+00           1.000000e-01           1.900000e+00           2.966261e+01           3.278367e+00           1.864088e+02           0.000000e+00           5.933737e-04           9.553934e-01           0.000000e+00           4.663491e-02   
        2.050000e+00           1.000000e-01           1.900000e+00           2.882843e+01           3.885801e+00           1.334177e+02           0.000000e+00           9.871874e-04           9.408559e-01           0.000000e+00           2.787819e-02   
        2.000000e+00           1.000000e-01           1.950000e+00           3.020644e+01           3.282012e+00           2.027601e+02           0.000000e+00           5.296016e-04           9.582468e-01           0.000000e+00           5.182154e-02   
        2.050000e+00           1.000000e-01           1.950000e+00           3.035657e+01           3.893407e+00           1.595548e+02           0.000000e+00           8.722164e-04           9.468452e-01           0.000000e+00           3.431180e-02   
        2.000000e+00           1.000000e-01           2.000000e+00           3.072944e+01           3.284378e+00           2.155701e+02           0.000000e+00           5.038471e-04           9.602889e-01           0.000000e+00           5.388267e-02   
        2.050000e+00           1.000000e-01           2.000000e+00           3.108287e+01           3.897896e+00           1.778155e+02           0.000000e+00           7.277834e-04           9.515471e-01           0.000000e+00           3.987864e-02   
        2.050000e+00           1.000000e-01           2.050000e+00           3.158289e+01           3.900072e+00           1.874799e+02           0.000000e+00           5.726679e-04           9.536114e-01           0.000000e+00           4.254842e-02   
        2.100000e+00           1.000000e-01           2.050000e+00           3.144532e+01           4.601414e+00           1.491336e+02           0.000000e+00           9.460331e-04           9.429701e-01           0.000000e+00           2.828293e-02   
        2.050000e+00           1.000000e-01           2.100000e+00           3.197810e+01           3.902916e+00           2.008013e+02           0.000000e+00           5.116499e-04           9.553934e-01           0.000000e+00           4.559158e-02   
        2.100000e+00           1.000000e-01           2.100000e+00           3.225975e+01           4.605918e+00           1.662953e+02           0.000000e+00           7.817762e-04           9.468452e-01           0.000000e+00           3.397555e-02   
        2.050000e+00           1.000000e-01           2.150000e+00           3.248196e+01           3.904747e+00           2.113081e+02           0.000000e+00           5.331810e-04           9.576419e-01           0.000000e+00           4.908199e-02   
        2.100000e+00           1.000000e-01           2.150000e+00           3.298225e+01           4.609104e+00           1.793322e+02           0.000000e+00           7.248921e-04           9.502496e-01           0.000000e+00           3.558375e-02   
        2.150000e+00           1.000000e-01           2.150000e+00           3.262980e+01           5.424119e+00           1.404085e+02           0.000000e+00           9.663519e-04           9.382096e-01           0.000000e+00           2.335424e-02   
        2.050000e+00           1.000000e-01           2.200000e+00           3.269422e+01           3.906594e+00           2.222343e+02           0.000000e+00           5.296016e-04           9.597328e-01           0.000000e+00           5.228948e-02   
        2.100000e+00           1.000000e-01           2.200000e+00           3.351003e+01           4.611588e+00           1.908873e+02           0.000000e+00           7.093173e-04           9.521490e-01           0.000000e+00           3.957862e-02   
        2.150000e+00           1.000000e-01           2.200000e+00           3.349591e+01           5.428811e+00           1.564762e+02           0.000000e+00           9.006712e-04           9.429701e-01           0.000000e+00           2.769139e-02   
        2.100000e+00           1.000000e-01           2.250000e+00           3.382672e+01           4.613883e+00           2.019526e+02           0.000000e+00           5.726679e-04           9.541255e-01           0.000000e+00           4.254842e-02   
        2.150000e+00           1.000000e-01           2.250000e+00           3.409129e+01           5.432132e+00           1.696718e+02           0.000000e+00           8.034861e-04           9.460792e-01           0.000000e+00           2.954068e-02   
        2.200000e+00           1.000000e-01           2.250000e+00           3.413513e+01           6.370185e+00           1.382843e+02           0.000000e+00           1.096554e-03           9.348588e-01           0.000000e+00           2.041227e-02   
        2.100000e+00           1.000000e-01           2.300000e+00           3.411868e+01           4.615661e+00           2.119907e+02           0.000000e+00           5.190075e-04           9.552066e-01           0.000000e+00           4.370595e-02   
        2.150000e+00           1.000000e-01           2.300000e+00           3.459482e+01           5.434343e+00           1.810204e+02           0.000000e+00           6.924475e-04           9.480423e-01           0.000000e+00           3.401348e-02   
        2.100000e+00           1.000000e-01           2.350000e+00           3.446129e+01           4.617271e+00           2.205530e+02           0.000000e+00           4.588147e-04           9.576923e-01           0.000000e+00           4.731954e-02   
        2.150000e+00           1.000000e-01           2.350000e+00           3.519419e+01           5.436911e+00           1.902684e+02           0.000000e+00           6.561440e-04           9.501363e-01           0.000000e+00           3.461182e-02   
        2.200000e+00           1.000000e-01           2.350000e+00           3.546306e+01           6.376751e+00           1.646144e+02           0.000000e+00           8.071492e-04           9.429322e-01           0.000000e+00           2.654895e-02   
