              log_Mi              initial_q                     Pi                    M1f                    M2f                     Pf                 CaseBB      merge_fraction_NS    disrupt_fraction_NS      merge_fraction_BH    disrupt_fraction_BH   
        2.300000e+00           1.000000e-01           7.000000e-01           1.771217e+02           8.960691e+00           1.328413e+01           0.000000e+00           9.514495e-02           3.824948e-01           0.000000e+00           0.000000e+00   
        2.350000e+00           1.000000e-01           7.500000e-01           1.847881e+02           1.046117e+01           1.106779e+01           0.000000e+00           1.060705e-01           3.500262e-01           0.000000e+00           0.000000e+00   
        2.400000e+00           1.000000e-01           8.500000e-01           1.972753e+02           1.208375e+01           1.021918e+01           0.000000e+00           1.112730e-01           3.293839e-01           0.000000e+00           0.000000e+00   
        2.200000e+00           1.500000e-01           7.500000e-01           1.422434e+02           1.126911e+01           9.267423e+00           0.000000e+00           1.154971e-01           3.710975e-01           0.000000e+00           0.000000e+00   
        2.250000e+00           1.500000e-01           7.500000e-01           1.629761e+02           1.293156e+01           8.565098e+00           0.000000e+00           1.216092e-01           3.387289e-01           2.719710e-04           0.000000e+00   
        2.200000e+00           1.500000e-01           8.000000e-01           1.401949e+02           1.126091e+01           9.189559e+00           0.000000e+00           1.158380e-01           3.729289e-01           0.000000e+00           0.000000e+00   
        2.250000e+00           1.500000e-01           8.000000e-01           1.558143e+02           1.295120e+01           9.055702e+00           0.000000e+00           1.166755e-01           3.565688e-01           0.000000e+00           0.000000e+00   
        2.300000e+00           1.500000e-01           8.000000e-01           1.779773e+02           1.477208e+01           8.440972e+00           0.000000e+00           1.221444e-01           3.265257e-01           3.381777e-03           0.000000e+00   
        2.250000e+00           1.500000e-01           8.500000e-01           1.487458e+02           1.295648e+01           9.439137e+00           0.000000e+00           1.127535e-01           3.698750e-01           0.000000e+00           0.000000e+00   
        2.300000e+00           1.500000e-01           8.500000e-01           1.715405e+02           1.480626e+01           8.917245e+00           0.000000e+00           1.163169e-01           3.399777e-01           6.307588e-04           0.000000e+00   
        2.350000e+00           1.500000e-01           8.500000e-01           1.932177e+02           1.682854e+01           8.448730e+00           0.000000e+00           1.209363e-01           3.159738e-01           1.311390e-02           0.000000e+00   
        2.300000e+00           1.500000e-01           9.000000e-01           1.644482e+02           1.478553e+01           9.384829e+00           0.000000e+00           1.123958e-01           3.574757e-01           0.000000e+00           0.000000e+00   
        2.350000e+00           1.500000e-01           9.000000e-01           1.786261e+02           1.704524e+01           8.805501e+00           0.000000e+00           1.150912e-01           3.369045e-01           4.703809e-03           0.000000e+00   
        2.400000e+00           1.500000e-01           9.000000e-01           2.087426e+02           1.962106e+01           7.763204e+00           0.000000e+00           1.266695e-01           2.966483e-01           1.481850e-01           0.000000e+00   
        2.350000e+00           1.500000e-01           9.500000e-01           1.760898e+02           1.706118e+01           9.012239e+00           0.000000e+00           1.135467e-01           3.429915e-01           2.661583e-03           0.000000e+00   
        2.400000e+00           1.500000e-01           9.500000e-01           1.969666e+02           1.983903e+01           8.353592e+00           0.000000e+00           1.184104e-01           3.180461e-01           4.763061e-02           0.000000e+00   
        2.450000e+00           1.500000e-01           9.500000e-01           2.241938e+02           2.305996e+01           7.102896e+00           0.000000e+00           1.328397e-01           2.767239e-01           6.260344e-01           0.000000e+00   
        2.400000e+00           1.500000e-01           1.000000e+00           1.918159e+02           1.985860e+01           8.725862e+00           0.000000e+00           1.137243e-01           3.292624e-01           2.170033e-02           0.000000e+00   
        2.450000e+00           1.500000e-01           1.000000e+00           2.112784e+02           2.321363e+01           7.732845e+00           0.000000e+00           1.227922e-01           3.009631e-01           3.052236e-01           0.000000e+00   
        2.500000e+00           1.500000e-01           1.000000e+00           2.412397e+02           2.697747e+01           6.659350e+00           0.000000e+00           1.371854e-01           2.617433e-01           9.524958e-01           0.000000e+00   
        2.450000e+00           1.500000e-01           1.050000e+00           2.099905e+02           2.322664e+01           7.955469e+00           0.000000e+00           1.201483e-01           3.057341e-01           2.272654e-01           0.000000e+00   
        2.500000e+00           1.500000e-01           1.050000e+00           2.284698e+02           2.707548e+01           7.459148e+00           0.000000e+00           1.231383e-01           2.889969e-01           6.639222e-01           0.000000e+00   
        2.500000e+00           1.500000e-01           1.100000e+00           2.289709e+02           2.707317e+01           7.602188e+00           0.000000e+00           1.215968e-01           2.910328e-01           6.024721e-01           0.000000e+00   
        2.200000e+00           2.000000e-01           8.000000e-01           1.420400e+02           1.550358e+01           7.631004e+00           0.000000e+00           1.251283e-01           3.552556e-01           1.511105e-02           0.000000e+00   
        2.250000e+00           2.000000e-01           8.500000e-01           1.504166e+02           1.802497e+01           7.598557e+00           0.000000e+00           1.233168e-01           3.482690e-01           4.603333e-02           0.000000e+00   
        2.300000e+00           2.000000e-01           9.000000e-01           1.658757e+02           2.116331e+01           7.116156e+00           0.000000e+00           1.271256e-01           3.300015e-01           2.676277e-01           0.000000e+00   
