                           1                            2                            3                            4 
              version_number             initial_don_mass             initial_acc_mass          initial_period_days 
                        9669      1.5848931924600000E+001      8.3206892604200000E+000      3.1622776601700002E+003 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                    star_1_radius                    star_2_radius                             rl_1                             rl_2                      star_1_mass                      star_2_mass                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2                    xfer_fraction                            J_orb                             Jdot 
                              70          4.6211504954096139E+005          3.1634516819865207E+003          2.6211426950276632E+003          1.4438812320402411E+001          2.7497703421916160E+001          5.2171449375269106E+000          3.5643069806935732E+000          1.1418891958471786E+003          8.5121913601229880E+002          1.5845039262724701E+001          8.3200965772852449E+000         -8.0698804822500136E+000         -8.8913819030565584E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.0698804822500136E+000         -8.8913819030565584E+000          1.0000000000000009E-002          8.3021517224679686E+054         -7.5292084625369697E+037 
                              75          5.5131365356003132E+005          3.1636811931408597E+003          2.6212377763177669E+003          1.4438613284950709E+001          2.7496381273790188E+001          5.2423409938553975E+000          3.5708077952450576E+000          1.1419226167325310E+003          8.5125731300061898E+002          1.5844277398659550E+001          8.3199818863726325E+000         -8.0675168371594115E+000         -8.8904565391542754E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.0675168371594115E+000         -8.8904565391542754E+000          1.0000000000000009E-002          8.3019392391214687E+054         -7.5616042437808425E+037 
                              80          6.4165234593624703E+005          3.1639148993053000E+003          2.6213345919603426E+003          1.4438411264980829E+001          2.7495034476018549E+001          5.2670508528780795E+000          3.5772652132277929E+000          1.1419566311802491E+003          8.5129620105166100E+002          1.5843501330661034E+001          8.3198654756689798E+000         -8.0649250982124130E+000         -8.8894957991404500E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.0649250982124130E+000         -8.8894957991404500E+000          1.0000000000000009E-002          8.3017230635475834E+054         -7.5969651738892678E+037 
                              85          7.3436530491051590E+005          3.1641561662575555E+003          2.6214345359981585E+003          1.4438203462675938E+001          2.7493643533691930E+001          5.2917326499532287E+000          3.5837696395443652E+000          1.1419917262115609E+003          8.5133636262474067E+002          1.5842699825123832E+001          8.3197457329702438E+000         -8.0620843000288698E+000         -8.8884855027826166E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.0620843000288698E+000         -8.8884855027826166E+000          1.0000000000000009E-002          8.3015001138753507E+054         -7.6356694965564321E+037 
                              90          8.2818538364353788E+005          3.1644018719906567E+003          2.6215363148683577E+003          1.4437992678782388E+001          2.7492226347465412E+001          5.3161543964194014E+000          3.5902429317951872E+000          1.1420274448411801E+003          8.5137728043013124E+002          1.5841883196989150E+001          8.3196242721660081E+000         -8.0590455866444959E+000         -8.8874405661217075E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.0590455866444959E+000         -8.8874405661217075E+000          1.0000000000000009E-002          8.3012733066271962E+054         -7.6770947431738107E+037 
                              95          9.2263106121756870E+005          3.1646508861605616E+003          2.6216394601618053E+003          1.4437779969148487E+001          2.7490789359722456E+001          5.3402886784579628E+000          3.5966525964923148E+000          1.1420636205584592E+003          8.5141876809627706E+002          1.5841055158568231E+001          8.3195017016732837E+000         -8.0558434493492808E+000         -8.8863656019598238E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.0558434493492808E+000         -8.8863656019598238E+000          1.0000000000000009E-002          8.3010437093830451E+054         -7.7208635325393521E+037 
                             100          1.0182552987028934E+006          3.1649047955086239E+003          2.6217446289287482E+003          1.4437564061732104E+001          2.7489323340074893E+001          5.3643534092173173E+000          3.6030408166180194E+000          1.1421004817504383E+003          8.5146109178496260E+002          1.5840210391007856E+001          8.3193772884941204E+000         -8.0524714236975594E+000         -8.8852558011643001E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.0524714236975594E+000         -8.8852558011643001E+000          1.0000000000000009E-002          8.3008098825747289E+054         -7.7671278866367439E+037 
                             105          1.1140196190751099E+006          3.1651609582427159E+003          2.6218507267677064E+003          1.4437347278030053E+001          2.7487843475076492E+001          5.3881743697860083E+000          3.6093470469971218E+000          1.1421376429799896E+003          8.5150381276354528E+002          1.5839357645297557E+001          8.3192523703587806E+000         -8.0489802915505244E+000         -8.8841247978716993E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.0489802915505244E+000         -8.8841247978716993E+000          1.0000000000000009E-002          8.3005742801641068E+054         -7.8152540807212977E+037 
                             110          1.2103813586139195E+006          3.1654206903352624E+003          2.6219582985833267E+003          1.4437128566199139E+001          2.7486342107443729E+001          5.4119315706717579E+000          3.6156093498197315E+000          1.1421752935739194E+003          8.5154715183770554E+002          1.5838492509058421E+001          8.3191263411559238E+000         -8.0453699587072478E+000         -8.8829706701308204E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.0453699587072478E+000         -8.8829706701308204E+000          1.0000000000000009E-002          8.3003357091601749E+054         -7.8652939425217549E+037 
                             115          1.3077597217382330E+006          3.1656852402139516E+003          2.6220678612159368E+003          1.4436906949393579E+001          2.7484811956511326E+001          5.4357689733094343E+000          3.6218551374516528E+000          1.1422136125896936E+003          8.5159131891495281E+002          1.5837610786930805E+001          8.3189986379901093E+000         -8.0416280657712651E+000         -8.8817857089595869E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.0416280657712651E+000         -8.8817857089595869E+000          1.0000000000000009E-002          8.3000930438827542E+054         -7.9174842549593059E+037 
                             120          1.4044295735382899E+006          3.1659500013024144E+003          2.6221775067365070E+003          1.4436686339371718E+001          2.7483279620055580E+001          5.4593303927743744E+000          3.6279785426193270E+000          1.1422519314322471E+003          8.5163554606081368E+002          1.5836727805427484E+001          8.3188715149600778E+000         -8.0378062981269007E+000         -8.8805857679510716E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.0378062981269007E+000         -8.8805857679510716E+000          1.0000000000000009E-002          8.2998505246782648E+054         -7.9711438777941414E+037 
                             125          1.5006566043888936E+006          3.1662157246216620E+003          2.6222875461351678E+003          1.4436466131391800E+001          2.7481740731824608E+001          5.4827148311049481E+000          3.6340107063804616E+000          1.1422903582613765E+003          8.5167995919734869E+002          1.5835841048570231E+001          8.3187446235910141E+000         -8.0339338981217381E+000         -8.8793800118161403E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.0339338981217381E+000         -8.8793800118161403E+000          1.0000000000000009E-002          8.2996074694071542E+054         -8.0258894500311030E+037 
                             130          1.5956316307575034E+006          3.1664801791223490E+003          2.6223970555154360E+003          1.4436248183622325E+001          2.7480208202847244E+001          5.5057740064281662E+000          3.6399037303286006E+000          1.1423285702087992E+003          8.5172418564400004E+002          1.5834957956118700E+001          8.3186190346283251E+000         -8.0300475485955314E+000         -8.8781759726931657E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.0300475485955314E+000         -8.8781759726931657E+000          1.0000000000000009E-002          8.2993659212478882E+054         -8.0812415164182141E+037 
                             135          1.6913490191756103E+006          3.1667489524286480E+003          2.6225083486053190E+003          1.4436027916227923E+001          2.7478649631106951E+001          5.5290082851665820E+000          3.6457809096617564E+000          1.1423673739944129E+003          8.5176916039602202E+002          1.5834059856963975E+001          8.3184921090006174E+000         -8.0260759292746773E+000         -8.8769509791251231E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.0260759292746773E+000         -8.8769509791251231E+000          1.0000000000000009E-002          8.2991207836231290E+054         -8.1382411574582042E+037 
                             140          1.7876663967439018E+006          3.1670217484422201E+003          2.6226213025778507E+003          1.4435805635081339E+001          2.7477066680908507E+001          5.5524386777682597E+000          3.6516432807352071E+000          1.1424067252277430E+003          8.5181483524860221E+002          1.5833147710132202E+001          8.3183640229621627E+000         -8.0220124904050127E+000         -8.8757035328413370E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.0220124904050127E+000         -8.8757035328413370E+000          1.0000000000000009E-002          8.2988723445746795E+054         -8.1970142398155104E+037 
                             145          1.8843625297231437E+006          3.1672980326398601E+003          2.6227356959081972E+003          1.4435581832883559E+001          2.7475462406344199E+001          5.5760088841832749E+000          3.6574799698668636E+000          1.1424465453167231E+003          8.5186112191954419E+002          1.5832223275491041E+001          8.3182350604247564E+000         -8.0178773963009728E+000         -8.8744389820151799E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.0178773963009728E+000         -8.8744389820151799E+000          1.0000000000000009E-002          8.2986211071568413E+054         -8.2573096092190456E+037 
                             150          1.9824701591148854E+006          3.1675808764731123E+003          2.6228528000331730E+003          1.4435354093002251E+001          2.7473818914339162E+001          5.6000311978471204E+000          3.6633525106224889E+000          1.1424872750774632E+003          8.5190853648398468E+002          1.5831276242458502E+001          8.3181038288327649E+000         -8.0136384799951603E+000         -8.8731460043687900E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.0136384799951603E+000         -8.8731460043687900E+000          1.0000000000000009E-002          8.2983642987328546E+054         -8.3196446868201148E+037 
                             155          2.0807083351266927E+006          3.1678667053859813E+003          2.6229711347394009E+003          1.4435125363471247E+001          2.7472156917926505E+001          5.6242064907637133E+000          3.6691876967337778E+000          1.1425283979481349E+003          8.5195648119820737E+002          1.5830318546567490E+001          8.3179720269533490E+000         -8.0093279120517735E+000         -8.8718338539500934E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.0093279120517735E+000         -8.8718338539500934E+000          1.0000000000000009E-002          8.2981051847824390E+054         -8.3835883218565894E+037 
                             160          2.1799167606561570E+006          3.1681580614537620E+003          2.6230917522200825E+003          1.4434893670151499E+001          2.7470461587093183E+001          5.6487611194728187E+000          3.6750419644004682E+000          1.1425702780876557E+003          8.5200538373538404E+002          1.5829341642272546E+001          8.3178385172116034E+000         -8.0049284806127137E+000         -8.8704986147403009E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.0049284806127137E+000         -8.8704986147403009E+000          1.0000000000000009E-002          8.2978414779870694E+054         -8.4494264896803085E+037 
                             165          2.2803110968762743E+006          3.1684557233618207E+003          2.6232149745024972E+003          1.4434658477470428E+001          2.7468728323339334E+001          5.6737790044171525E+000          3.6809233206784744E+000          1.1426130252343928E+003          8.5205537655342948E+002          1.5828342879763493E+001          8.3177029909883782E+000         -8.0004537101292144E+000         -8.8691419804307170E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.0004537101292144E+000         -8.8691419804307170E+000          1.0000000000000009E-002          8.2975724974983430E+054         -8.5170137901602004E+037 
                             170          2.3821217440359602E+006          3.1687605435218429E+003          2.6233411540642924E+003          1.4434419208379341E+001          2.7466952085427874E+001          5.6993427659119389E+000          3.6868500803676354E+000          1.1426567592748395E+003          8.5210660484425375E+002          1.5827319354109877E+001          8.3175651157640598E+000         -7.9958451225624403E+000         -8.8677473737421604E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -7.9958451225624403E+000         -8.8677473737421604E+000          1.0000000000000009E-002          8.2972975006603361E+054         -8.5872747941871313E+037 
                             175          2.4830831315766159E+006          3.1690658299239940E+003          2.6234675205419921E+003          1.4434181171195767E+001          2.7465171824212703E+001          5.7249056985691826E+000          3.6926943289521095E+000          1.1427005186188539E+003          8.5215794511392016E+002          1.5826293510086433E+001          8.3174279503949773E+000         -7.9912253936521669E+000         -8.8663520909109828E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -7.9912253936521669E+000         -8.8663520909109828E+000          1.0000000000000009E-002          8.2970225406107131E+054         -8.6583780674012156E+037 
                             180          2.5843566193144335E+006          3.1693751256793662E+003          2.6235955403920311E+003          1.4433941625750469E+001          2.7463366862116128E+001          5.7507930716535975E+000          3.6985239259674225E+000          1.1427448105190997E+003          8.5220999367351772E+002          1.5825253432584789E+001          8.3172899158889120E+000         -7.9865615658411198E+000         -8.8649433764030530E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -7.9865615658411198E+000         -8.8649433764030530E+000          1.0000000000000009E-002          8.2967444326840549E+054         -8.7308699653613176E+037 
                             185          2.6851872422533124E+006          3.1696861796682838E+003          2.6237242816865464E+003          1.4433702350248726E+001          2.7461550309584140E+001          5.7768148212248454E+000          3.7042967967341469E+000          1.1427893116814457E+003          8.5226237242787533E+002          1.5824206676279605E+001          8.3171520369163474E+000         -7.9818668885418234E+000         -8.8635269309300941E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -7.9818668885418234E+000         -8.8635269309300941E+000          1.0000000000000009E-002          8.2964652110174279E+054         -8.8045569527589030E+037 
                             190          2.7860725116658430E+006          3.1700005660238207E+003          2.6238543957840138E+003          1.4433462161371788E+001          2.7459712953478888E+001          5.8031247931699363E+000          3.7100494338061565E+000          1.1428342465643877E+003          8.5231534701822329E+002          1.5823147932253326E+001          8.3170136316021690E+000         -7.9771487581955443E+000         -8.8621054083908639E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -7.9771487581955443E+000         -8.8621054083908639E+000          1.0000000000000009E-002          8.2961834705249446E+054         -8.8793424699553589E+037 
                             195          2.8874704519490399E+006          3.1703197958537976E+003          2.6239865078299326E+003          1.4433219954000549E+001          2.7457845925120399E+001          5.8298680486611136E+000          3.7158044750292518E+000          1.1428798298299150E+003          8.5236917309369244E+002          1.5822072090075705E+001          8.3168740631322642E+000         -7.9723597716130472E+000         -8.8606626122864025E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -7.9723597716130472E+000         -8.8606626122864025E+000          1.0000000000000009E-002          8.2958978712433580E+054         -8.9560193782371656E+037 
