                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        8845      3.5397289219200001E+000      3.1622776600000039E-004      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96                                       97                                       98                                       99                                      100                                      101                                      102                                      103                                      104 
                            model_number                                 star_age                                star_mass                                   log_dt                               log_xmstar                             log_abs_mdot                                num_zones                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                 log_Teff                               luminosity                                    log_L                                    log_R                                    log_g                                  gravity                           surf_avg_j_rot                           surf_avg_omega                      surf_avg_omega_crit            surf_avg_omega_div_omega_crit                           surf_avg_v_rot               log_total_angular_momentum                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                               surface_h1                              surface_he4                              surface_c12                              surface_n14                              surface_o16                            total_mass_h1                           total_mass_he4                                       pp                                      cno                                 tri_alfa                        v_div_csound_surf                              num_retries                              num_backups                          runtime_minutes                             model_number                                      age                              period_days                        binary_separation                                  v_orb_1                                  v_orb_2                                     rl_1                                     rl_2                   rl_relative_overflow_1                   rl_relative_overflow_2                              star_1_mass                              star_2_mass                        lg_mtransfer_rate                           lg_mstar_dot_1                           lg_mstar_dot_2                         lg_system_mdot_1                         lg_system_mdot_2                           lg_wind_mdot_1                           lg_wind_mdot_2                            xfer_fraction                              lg_mdot_edd                             mdot_edd_eta                  lg_accretion_luminosity                                  bh_spin                                    J_orb                                     Jdot                                  jdot_mb                                  jdot_gr                                  jdot_ml                                  jdot_ls                        jdot_missing_wind                               extra_jdot                              donor_index                         point_mass_index 
                                       1                  2.3713737056628132E+000                  3.5397289219200001E+000                  3.7500000000021205E-001                  3.3847648454896117E+001                 -9.8999999999999986E+001                                     2080                  9.1779392918037250E-001                  2.5910157455677768E-001                  7.8136305800767121E-008                  9.9999999993743716E-001                  9.9999999983239296E-001                  1.0000000000000000E+000                  7.8136305800767121E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7473130878907480E+032                  1.2951747146793754E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.3402595567917825E+000                 -3.4254004273177948E+001                 -1.3546349804879153E+001                  2.3402595567917825E+000                  4.2400039343898559E+000                  2.1900129736158456E+002                  2.3404466876040830E+000                  2.1347431147495469E-001                  4.5599107347991499E+000                  3.6300343511396895E+004                  7.8267189111553331E+017                  9.0902471788073010E-005                  5.5525055915325427E-004                  1.6371441537729764E-001                  1.0330546392869260E+002                  5.0807520766474227E+001                  7.4188129707509232E+000                  1.5806844202216022E+000                  1.7147765205795132E+001                  5.9628447493667902E-001                  8.7569146735342873E-001                  1.2292904196142287E+000                  7.5138293455036731E-001                  2.4830083277956397E-001                  5.4390024751529601E-005                  1.4800164337013411E-004                  7.5138293947899049E-001                  2.4830083275499759E-001                  5.4416641746758275E-005                  1.5940386252527175E-005                  1.4800165600345035E-004                  2.6596919159598120E+000                  8.7891763907094100E-001                  9.9395969968356990E-001                  2.3202399375744180E+000                 -3.4254004273177948E+001                  5.0546488965312243E-010                                        0                                        0                  2.1707666666666667E+000                  1.0000000000000000E+000                  2.3713737056628132E+000                  8.0000000000000004E-001                  1.5244383709494564E+001                  4.5926513311312291E+001                  9.1853026622624589E+002                  9.6000350351800350E+000                  2.5660840014658919E+000                  1.4207315295819575E-001                 -3.6290610645021132E-001                  7.0794578438399995E+001                  3.5397289219200001E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  6.8619659304237227E+053                 -6.2388768509516732E+036                  0.0000000000000000E+000                 -6.2388768509516732E+036                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       2                  4.8613160966087676E+000                  3.5397289219200001E+000                  3.9618929907015021E-001                  3.3847648454896117E+001                 -9.8999999999999986E+001                                     2080                  9.1778961815055760E-001                  2.5910157455677774E-001                  7.8136305856886336E-008                  9.9999999993743716E-001                  9.9999999983239252E-001                  1.0000000000000000E+000                  7.8136305856886336E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7460605760545058E+032                  1.2950327341866660E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.3400656509553159E+000                 -3.4254004099299898E+001                 -9.8999999999999986E+001                  2.3400656509553155E+000                  4.2400040337518687E+000                  2.1900150588468836E+002                  2.3404471011193970E+000                  2.1347431950858628E-001                  4.5599107187318868E+000                  3.6300342168420677E+004                  7.8267195432371942E+017                  9.0902475808086729E-005                  5.5525054092602183E-004                  1.6371442799159788E-001                  1.0330547038439384E+002                  5.0807520766474248E+001                  7.4188129741272002E+000                  1.5806844299509701E+000                  1.7147765217188411E+001                  5.9628447706441545E-001                  8.7569146494065508E-001                  1.2292904268969642E+000                  7.5138292956295327E-001                  2.4830083280448542E-001                  5.4363153854719154E-005                  1.4800163065961400E-004                  7.5138293947899037E-001                  2.4830083275499759E-001                  5.4416641746758269E-005                  1.5940386252527172E-005                  1.4800165600345035E-004                  2.6596919092938882E+000                  8.7891763910396892E-001                  9.9413276968955311E-001                  2.3200287116776748E+000                 -3.4254004099299898E+001                  1.4911867717008519E-011                                        0                                        0                  2.1940000000000000E+000                  2.0000000000000000E+000                  4.8613160966087676E+000                  8.0000000000000004E-001                  1.5244383709494564E+001                  4.5926513311312291E+001                  9.1853026622624589E+002                  9.6000350351800350E+000                  2.5660840014658919E+000                  1.4208648713504540E-001                 -3.6290609466517165E-001                  7.0794578438399995E+001                  3.5397289219200001E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  6.8619659304237227E+053                  2.5496749820922461E+039                  0.0000000000000000E+000                 -6.2388768509516732E+036                  0.0000000000000000E+000                  2.5559138589431976E+039                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       3                  7.4757556071020206E+000                  3.5397289219200001E+000                  4.1737859814008832E-001                  3.3847648454896117E+001                 -9.8999999999999986E+001                                     2080                  9.1778342948827329E-001                  2.5910157455677801E-001                  7.8136306134455552E-008                  9.9999999993743716E-001                  9.9999999983239252E-001                  1.0000000000000000E+000                  7.8136306134455552E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7447453795320225E+032                  1.2948836209757389E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.3398621408867277E+000                 -3.4254003889768363E+001                 -1.2847379800543134E+001                  2.3398621408867282E+000                  4.2400040816468270E+000                  2.1900160671462331E+002                  2.3404473010717859E+000                  2.1347432369486455E-001                  4.5599107103593299E+000                  3.6300341468603678E+004                  7.8267198639554586E+017                  9.0902477799167274E-005                  5.5525053009892816E-004                  1.6371443476987615E-001                  1.0330547363235857E+002                  5.0807520766474262E+001                  7.4188129781356560E+000                  1.5806844433509961E+000                  1.7147765232789958E+001                  5.9628447929670592E-001                  8.7569146240934248E-001                  1.2292904345374276E+000                  7.5138292433043241E-001                  2.4830083283081716E-001                  5.4334964842493734E-005                  1.4800161731900118E-004                  7.5138293947899037E-001                  2.4830083275499776E-001                  5.4416641746758275E-005                  1.5940386252527175E-005                  1.4800165600345035E-004                  2.6596919022978240E+000                  8.7891763913888032E-001                  9.9431438852979870E-001                  2.3198070082935205E+000                 -3.4254003889768363E+001                  7.4004626855882217E-012                                        0                                        0                  2.2169666666666665E+000                  3.0000000000000000E+000                  7.4757556071020206E+000                  8.0000000000000004E-001                  1.5244383709494564E+001                  4.5926513311312291E+001                  9.1853026622624589E+002                  9.6000350351800350E+000                  2.5660840014658919E+000                  1.4208078079209305E-001                 -3.6290608852405670E-001                  7.0794578438399995E+001                  3.5397289219200001E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  6.8619659304237227E+053                  8.2244669261595558E+039                  0.0000000000000000E+000                 -6.2388768509516732E+036                  0.0000000000000000E+000                  8.2307058030105073E+039                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       4                  1.0220917093119937E+001                  3.5397289219200001E+000                  4.3856789721002643E-001                  3.3847648454896117E+001                 -9.8999999999999986E+001                                     2080                  9.1777546663484944E-001                  2.5910157455677807E-001                  7.8136306190490077E-008                  9.9999999993743716E-001                  9.9999999983239263E-001                  1.0000000000000000E+000                  7.8136306190490077E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7433639023533132E+032                  1.2947270051215092E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.3396484862913853E+000                 -3.4254003639565404E+001                 -9.8999999999999986E+001                  2.3396484862913849E+000                  4.2400041142522449E+000                  2.1900167483427381E+002                  2.3404474361574783E+000                  2.1347432602687524E-001                  4.5599107056953088E+000                  3.6300341078763195E+004                  7.8267200884011648E+017                  9.0902479445318155E-005                  5.5525052330506245E-004                  1.6371443973774710E-001                  1.0330547604897299E+002                  5.0807520766474255E+001                  7.4188129828648606E+000                  1.5806844609420740E+000                  1.7147765253202564E+001                  5.9628448163945746E-001                  8.7569145975277896E-001                  1.2292904425558679E+000                  7.5138291883895036E-001                  2.4830083285865742E-001                  5.4305382873415029E-005                  1.4800160331163894E-004                  7.5138293947899049E-001                  2.4830083275499776E-001                  5.4416641746758275E-005                  1.5940386252527172E-005                  1.4800165600345035E-004                  2.6596918949554524E+000                  8.7891763917578802E-001                  9.9450500285856858E-001                  2.3195742380315969E+000                 -3.4254003639565404E+001                  3.9261962039806841E-012                                        0                                        0                  2.2397333333333331E+000                  4.0000000000000000E+000                  1.0220917093119937E+001                  8.0000000000000004E-001                  1.5244383709494564E+001                  4.5926513311312291E+001                  9.1853026622624589E+002                  9.6000350351800350E+000                  2.5660840014658919E+000                  1.4206318032018470E-001                 -3.6290608510308336E-001                  7.0794578438399995E+001                  3.5397289219200001E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  6.8619659304237227E+053                  1.6286700173053459E+040                  0.0000000000000000E+000                 -6.2388768509516732E+036                  0.0000000000000000E+000                  1.6292939049904412E+040                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       5                  1.3103336653438747E+001                  3.5397289219200001E+000                  4.5975719627996448E-001                  3.3847648454896117E+001                 -9.8999999999999986E+001                                     2080                  9.1776580100115068E-001                  2.5910157455677812E-001                  7.8136306247075160E-008                  9.9999999993743716E-001                  9.9999999983239263E-001                  1.0000000000000000E+000                  7.8136306247075160E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7419127704337320E+032                  1.2945625064872695E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.3394241821270900E+000                 -3.4254003343546344E+001                 -9.8999999999999986E+001                  2.3394241821270896E+000                  4.2400041398817070E+000                  2.1900172764760279E+002                  2.3404475408897119E+000                  2.1347432713406828E-001                  4.5599107034809228E+000                  3.6300340893674569E+004                  7.8267202670225587E+017                  9.0902481067594063E-005                  5.5525051922607964E-004                  1.6371444386213851E-001                  1.0330547814960237E+002                  5.0807520766474219E+001                  7.4188129884047038E+000                  1.5806844832904330E+000                  1.7147765279076250E+001                  5.9628448409808743E-001                  8.7569145696482176E-001                  1.2292904509708158E+000                  7.5138291307580229E-001                  2.4830083288810129E-001                  5.4274339820258517E-005                  1.4800158860414029E-004                  7.5138293947899049E-001                  2.4830083275499759E-001                  5.4416641746758275E-005                  1.5940386252527175E-005                  1.4800165600345035E-004                  2.6596918872498043E+000                  8.7891763921482613E-001                  9.9470505420645861E-001                  2.3193298483579103E+000                 -3.4254003343546344E+001                  1.7753150920838960E-012                                        0                                        0                  2.2622333333333335E+000                  5.0000000000000000E+000                  1.3103336653438747E+001                  8.0000000000000004E-001                  1.5244383709494564E+001                  4.5926513311312291E+001                  9.1853026622624589E+002                  9.6000350351800350E+000                  2.5660840014658919E+000                  1.4203588168060036E-001                 -3.6290608347887221E-001                  7.0794578438399995E+001                  3.5397289219200001E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  6.8619659304237227E+053                  2.6995715829122946E+040                  0.0000000000000000E+000                 -6.2388768509516732E+036                  0.0000000000000000E+000                  2.7001954705973897E+040                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       6                  1.6129877191773499E+001                  3.5397289219200001E+000                  4.8094649534990258E-001                  3.3847648454896117E+001                 -9.8999999999999986E+001                                     2080                  9.1775439621571531E-001                  2.5910157455677818E-001                  7.8136306303194375E-008                  9.9999999993743716E-001                  9.9999999983239263E-001                  1.0000000000000000E+000                  7.8136306303194375E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7403884412644837E+032                  1.2943897256115402E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.3391886992991817E+000                 -3.4254002996013106E+001                 -9.8999999999999986E+001                  2.3391886992991813E+000                  4.2400041618163975E+000                  2.1900177199178651E+002                  2.3404476288270657E+000                  2.1347432723336465E-001                  4.5599107032823296E+000                  3.6300340877075265E+004                  7.8267204165671898E+017                  9.0902482767992945E-005                  5.5525051746304721E-004                  1.6371444744437202E-001                  1.0330548010273004E+002                  5.0807520766474155E+001                  7.4188129948546075E+000                  1.5806845110260264E+000                  1.7147765311133945E+001                  5.9628448667826228E-001                  8.7569145403904658E-001                  1.2292904598016468E+000                  7.5138290702770028E-001                  2.4830083291925067E-001                  5.4241764459986095E-005                  1.4800157316152040E-004                  7.5138293947899049E-001                  2.4830083275499759E-001                  5.4416641746758275E-005                  1.5940386252527172E-005                  1.4800165600345035E-004                  2.6596918791631179E+000                  8.7891763925612398E-001                  9.9491500490515750E-001                  2.3190732602364847E+000                 -3.4254002996013106E+001                  1.5163392192649277E-013                                        0                                        0                  2.2853833333333333E+000                  6.0000000000000000E+000                  1.6129877191773499E+001                  8.0000000000000004E-001                  1.5244383709494564E+001                  4.5926513311312291E+001                  9.1853026622624589E+002                  9.6000350351800350E+000                  2.5660840014658919E+000                  1.4199902223633076E-001                 -3.6290608333320812E-001                  7.0794578438399995E+001                  3.5397289219200001E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  6.8619659304237227E+053                  4.0541240056041686E+040                  0.0000000000000000E+000                 -6.2388768509516732E+036                  0.0000000000000000E+000                  4.0547478932892637E+040                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       7                  1.9307744757024988E+001                  3.5397289219200001E+000                  5.0213579441984058E-001                  3.3847648454896117E+001                 -9.8999999999999986E+001                                     2080                  9.1774119954614886E-001                  2.5910157455677846E-001                  7.8136306580763591E-008                  9.9999999993743716E-001                  9.9999999983239263E-001                  1.0000000000000000E+000                  7.8136306580763591E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7387871891965588E+032                  1.2942082425242151E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.3389414826253097E+000                 -3.4254002590615919E+001                 -9.8999999999999986E+001                  2.3389414826253097E+000                  4.2400041819406766E+000                  2.1900181180630520E+002                  2.3404477077817885E+000                  2.1347432646216652E-001                  4.5599107048247260E+000                  3.6300341005995884E+004                  7.8267205476512307E+017                  9.0902484621577912E-005                  5.5525051761236017E-004                  1.6371445073864221E-001                  1.0330548202106996E+002                  5.0807520766474042E+001                  7.4188130023254040E+000                  1.5806845448505362E+000                  1.7147765350181238E+001                  5.9628448938591805E-001                  8.7569145096872425E-001                  1.2292904690686606E+000                  7.5138290068072289E-001                  2.4830083295221470E-001                  5.4207582196287563E-005                  1.4800155694704847E-004                  7.5138293947899037E-001                  2.4830083275499776E-001                  5.4416641746758282E-005                  1.5940386252527175E-005                  1.4800165600345038E-004                  2.6596918706767467E+000                  8.7891763929982869E-001                  9.9513533943550248E-001                  2.3188038658980790E+000                 -3.4254002590615919E+001                 -1.1216037527671245E-012                                        0                                        0                  2.3081333333333331E+000                  7.0000000000000000E+000                  1.9307744757024988E+001                  8.0000000000000004E-001                  1.5244383709494564E+001                  4.5926513311312291E+001                  9.1853026622624589E+002                  9.6000350351800350E+000                  2.5660840014658919E+000                  1.4195225946632764E-001                 -3.6290608446452721E-001                  7.0794578438399995E+001                  3.5397289219200001E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  6.8619659304237227E+053                  5.7124732775302710E+040                  0.0000000000000000E+000                 -6.2388768509516732E+036                  0.0000000000000000E+000                  5.7130971652153665E+040                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       8                  2.2644505700539053E+001                  3.5397289219200001E+000                  5.2332509348977874E-001                  3.3847648454896117E+001                 -9.8999999999999986E+001                                     2080                  9.1772609127548910E-001                  2.5910157455677851E-001                  7.8136306636798116E-008                  9.9999999993743716E-001                  9.9999999983239274E-001                  1.0000000000000000E+000                  7.8136306636798116E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7371050954998844E+032                  1.2940176156528245E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.3386819495436648E+000                 -3.4254002120316002E+001                 -1.3546349804879153E+001                  2.3386819495436648E+000                  4.2400042009163963E+000                  2.1900184837555079E+002                  2.3404477803009156E+000                  2.1347432477029021E-001                  4.5599107082084789E+000                  3.6300341288825570E+004                  7.8267206641961894E+017                  9.0902486687583671E-005                  5.5525051964238714E-004                  1.6371445386095326E-001                  1.0330548396416090E+002                  5.0807520766473871E+001                  7.4188130109397550E+000                  1.5806845855438749E+000                  1.7147765397113325E+001                  5.9628449222727364E-001                  8.7569144774680308E-001                  1.2292904787931216E+000                  7.5138289402028491E-001                  2.4830083298711039E-001                  5.4171714907611964E-005                  1.4800153992215951E-004                  7.5138293947899049E-001                  2.4830083275499776E-001                  5.4416641746758282E-005                  1.5940386252527175E-005                  1.4800165600345035E-004                  2.6596918617712082E+000                  8.7891763934609413E-001                  9.9536656544030022E-001                  2.3185210273994294E+000                 -3.4254002120316002E+001                 -2.3434342116007014E-012                                        0                                        0                  2.3313666666666668E+000                  8.0000000000000000E+000                  2.2644505700539053E+001                  8.0000000000000004E-001                  1.5244383709494564E+001                  4.5926513311312291E+001                  9.1853026622624589E+002                  9.6000350351800350E+000                  2.5660840014658919E+000                  1.4189491438287966E-001                 -3.6290608694644699E-001                  7.0794578438399995E+001                  3.5397289219200001E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  6.8619659304237227E+053                  7.6949596675943676E+040                  0.0000000000000000E+000                 -6.2388768509516732E+036                  0.0000000000000000E+000                  7.6955835552794631E+040                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       9                  2.6148104691228820E+001                  3.5397289219200001E+000                  5.4451439255971679E-001                  3.3847648454896117E+001                 -9.8999999999999986E+001                                     2080                  9.1770897597829970E-001                  2.5910157455677857E-001                  7.8136306693383199E-008                  9.9999999993743716E-001                  9.9999999983239274E-001                  1.0000000000000000E+000                  7.8136306693383199E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7353380380447923E+032                  1.2938173806866881E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.3384094887884572E+000                 -3.4254001577296528E+001                 -1.2944289813551190E+001                  2.3384094887884577E+000                  4.2400042195112855E+000                  2.1900188333425817E+002                  2.3404478496262322E+000                  2.1347432224317053E-001                  4.5599107132627177E+000                  3.6300341711282272E+004                  7.8267207714069760E+017                  9.0902489000167295E-005                  5.5525052344575730E-004                  1.6371445690448391E-001                  1.0330548598576118E+002                  5.0807520766473623E+001                  7.4188130208339675E+000                  1.5806846339731877E+000                  1.7147765452925746E+001                  5.9628449520884208E-001                  8.7569144436589941E-001                  1.2292904889973013E+000                  7.5138288703110889E-001                  2.4830083302406342E-001                  5.4134080791535402E-005                  1.4800152204636307E-004                  7.5138293947899049E-001                  2.4830083275499759E-001                  5.4416641746758269E-005                  1.5940386252527175E-005                  1.4800165600345035E-004                  2.6596918524260422E+000                  8.7891763939508571E-001                  9.9560921477790343E-001                  2.3182240751420267E+000                 -3.4254001577296528E+001                 -3.3336549437865844E-012                                        0                                        0                  2.3540166666666669E+000                  9.0000000000000000E+000                  2.6148104691228820E+001                  8.0000000000000004E-001                  1.5244383709494564E+001                  4.5926513311312291E+001                  9.1853026622624589E+002                  9.6000350351800350E+000                  2.5660840014658919E+000                  1.4182613390394483E-001                 -3.6290609065363794E-001                  7.0794578438399995E+001                  3.5397289219200001E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  6.8619659304237227E+053                  1.0021754579905326E+041                  0.0000000000000000E+000                 -6.2388768509516732E+036                  0.0000000000000000E+000                  1.0022378467590422E+041                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
