                 SFR              median_Lx            expected_Lx              perc25_Lx              perc75_Lx              perc10_Lx              perc20_Lx              perc30_Lx              perc40_Lx              perc50_Lx              perc60_Lx              perc70_Lx              perc80_Lx              perc90_Lx
        1.000000e-01           2.557815e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           5.357812e+00           8.322065e+00
        1.059254e-01           2.709375e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           6.009518e+00           8.401604e+00
        1.122018e-01           2.869916e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           6.015775e+00           8.409003e+00
        1.188502e-01           3.039969e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           6.737736e+00           8.430441e+00
        1.258925e-01           3.220098e+00           0.000000e+00           0.000000e+00           4.583378e-01           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           7.398533e+00           8.461846e+00
        1.333521e-01           3.410901e+00           0.000000e+00           0.000000e+00           5.441262e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           7.459886e+00           8.499636e+00
        1.412538e-01           3.613010e+00           0.000000e+00           0.000000e+00           6.658817e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           7.517274e+00           1.035450e+01
        1.496236e-01           3.827094e+00           0.000000e+00           0.000000e+00           6.721522e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           7.553486e+00           1.294526e+01
        1.584893e-01           4.053864e+00           0.000000e+00           0.000000e+00           7.390024e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           5.020174e+00           7.602500e+00           1.348222e+01
        1.678804e-01           4.294070e+00           0.000000e+00           0.000000e+00           7.427662e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           5.847793e+00           7.612646e+00           1.501695e+01
        1.778279e-01           4.548510e+00           0.000000e+00           0.000000e+00           7.479483e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           6.617452e+00           8.049768e+00           1.519023e+01
        1.883649e-01           4.818026e+00           0.000000e+00           0.000000e+00           7.540912e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           6.744880e+00           8.291632e+00           1.594123e+01
        1.995262e-01           5.103512e+00           0.000000e+00           0.000000e+00           7.570923e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           7.395726e+00           8.329375e+00           1.683861e+01
        2.113489e-01           5.405914e+00           0.000000e+00           0.000000e+00           7.612361e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           7.456349e+00           8.389595e+00           1.940199e+01
        2.238721e-01           5.726235e+00           0.000000e+00           0.000000e+00           8.236987e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           3.215404e+00           7.499479e+00           8.414091e+00           1.984252e+01
        2.371374e-01           6.065536e+00           0.000000e+00           0.000000e+00           8.299202e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           5.777706e+00           7.554263e+00           8.479124e+00           2.100806e+01
        2.511886e-01           6.424941e+00           0.000000e+00           0.000000e+00           8.373670e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           6.700651e+00           7.625600e+00           8.793412e+00           2.183625e+01
        2.660725e-01           6.805643e+00           0.000000e+00           0.000000e+00           8.404330e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           6.722429e+00           7.745173e+00           1.051956e+01           2.252337e+01
        2.818383e-01           7.208903e+00           0.000000e+00           0.000000e+00           8.456076e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           7.418218e+00           8.309443e+00           1.356100e+01           2.287744e+01
        2.985383e-01           7.636057e+00           1.954903e+00           0.000000e+00           8.490096e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           1.954903e+00           7.457300e+00           8.331596e+00           1.449698e+01           2.357403e+01
        3.162278e-01           8.088522e+00           5.487135e+00           0.000000e+00           8.826278e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           5.487135e+00           7.501087e+00           8.399890e+00           1.510954e+01           2.502777e+01
        3.349654e-01           8.567797e+00           6.614517e+00           0.000000e+00           1.212876e+01           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           6.614517e+00           7.567751e+00           8.438726e+00           1.572080e+01           2.568037e+01
        3.548134e-01           9.075471e+00           6.681694e+00           0.000000e+00           1.426582e+01           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           6.681694e+00           7.603116e+00           8.502499e+00           1.630225e+01           2.749626e+01
        3.758374e-01           9.613226e+00           7.396012e+00           0.000000e+00           1.503277e+01           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           7.396012e+00           8.225638e+00           8.854022e+00           1.725923e+01           2.750324e+01
        3.981072e-01           1.018285e+01           7.430048e+00           0.000000e+00           1.556199e+01           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           7.430048e+00           8.286700e+00           1.257535e+01           1.885126e+01           2.832300e+01
        4.216965e-01           1.078622e+01           7.522715e+00           0.000000e+00           1.596766e+01           0.000000e+00           0.000000e+00           0.000000e+00           5.797585e+00           7.522715e+00           8.388162e+00           1.422211e+01           2.031875e+01           2.936515e+01
        4.466836e-01           1.142534e+01           7.547986e+00           0.000000e+00           1.663447e+01           0.000000e+00           0.000000e+00           0.000000e+00           6.020052e+00           7.547986e+00           8.419006e+00           1.500808e+01           2.132214e+01           3.086499e+01
        4.731513e-01           1.210233e+01           7.669686e+00           0.000000e+00           1.921673e+01           0.000000e+00           0.000000e+00           0.000000e+00           7.028928e+00           7.669686e+00           8.544916e+00           1.579674e+01           2.265206e+01           3.204565e+01
        5.011872e-01           1.281944e+01           8.282198e+00           0.000000e+00           2.022962e+01           0.000000e+00           0.000000e+00           0.000000e+00           7.411867e+00           8.282198e+00           1.136399e+01           1.600710e+01           2.347510e+01           3.337797e+01
        5.308844e-01           1.357904e+01           8.332995e+00           0.000000e+00           2.154798e+01           0.000000e+00           0.000000e+00           4.936380e+00           7.467252e+00           8.332995e+00           1.348727e+01           1.690665e+01           2.459311e+01           3.437899e+01
