                 SFR              median_Lx            expected_Lx              perc25_Lx              perc75_Lx              perc10_Lx              perc20_Lx              perc30_Lx              perc40_Lx              perc50_Lx              perc60_Lx              perc70_Lx              perc80_Lx              perc90_Lx
        4.731513e-01           1.041607e+01           0.000000e+00           0.000000e+00           1.801146e+01           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           7.894729e+00           9.836442e+00           2.195206e+01           3.139697e+01
        5.011872e-01           1.103326e+01           3.771435e+00           0.000000e+00           1.987358e+01           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           3.771435e+00           7.941867e+00           1.457547e+01           2.337872e+01           3.256170e+01
        5.308844e-01           1.168702e+01           6.183482e+00           0.000000e+00           2.069634e+01           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           6.183482e+00           8.012857e+00           1.593051e+01           2.410619e+01           3.334959e+01
        5.623413e-01           1.237952e+01           7.041329e+00           0.000000e+00           2.189619e+01           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           7.041329e+00           8.281603e+00           1.867447e+01           2.583510e+01           3.523380e+01
        5.956621e-01           1.311305e+01           7.079305e+00           0.000000e+00           2.236099e+01           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           7.079305e+00           8.384091e+00           1.953887e+01           2.632642e+01           3.617207e+01
        6.309573e-01           1.389005e+01           7.902748e+00           0.000000e+00           2.449333e+01           0.000000e+00           0.000000e+00           0.000000e+00           1.038816e+00           7.902748e+00           1.182452e+01           2.116044e+01           2.840368e+01           3.792615e+01
        6.683439e-01           1.471309e+01           7.937269e+00           0.000000e+00           2.465633e+01           0.000000e+00           0.000000e+00           0.000000e+00           4.335564e+00           7.937269e+00           1.376634e+01           2.160938e+01           2.873170e+01           3.937578e+01
        7.079458e-01           1.558489e+01           8.005964e+00           0.000000e+00           2.607637e+01           0.000000e+00           0.000000e+00           0.000000e+00           6.405642e+00           8.005964e+00           1.521446e+01           2.237351e+01           2.928187e+01           4.002489e+01
        7.498942e-01           1.650836e+01           8.342786e+00           0.000000e+00           2.805177e+01           0.000000e+00           0.000000e+00           0.000000e+00           7.058682e+00           8.342786e+00           1.669998e+01           2.431930e+01           3.152606e+01           4.348330e+01
        7.943282e-01           1.748654e+01           8.445271e+00           0.000000e+00           2.830206e+01           0.000000e+00           0.000000e+00           0.000000e+00           7.830473e+00           8.445271e+00           1.817803e+01           2.472212e+01           3.187756e+01           4.381636e+01
        8.413951e-01           1.852268e+01           9.713387e+00           0.000000e+00           2.915810e+01           0.000000e+00           0.000000e+00           9.085562e-01           7.907431e+00           9.713387e+00           1.972615e+01           2.611175e+01           3.291058e+01           4.569651e+01
        8.912509e-01           1.962022e+01           1.410876e+01           0.000000e+00           3.068910e+01           0.000000e+00           0.000000e+00           5.134600e+00           7.958987e+00           1.410876e+01           2.104814e+01           2.756035e+01           3.461151e+01           4.792990e+01
        9.440609e-01           2.078279e+01           1.571145e+01           0.000000e+00           3.202311e+01           0.000000e+00           0.000000e+00           6.977930e+00           8.203183e+00           1.571145e+01           2.207334e+01           2.890925e+01           3.627551e+01           4.954947e+01
