                 SFR              median_Lx            expected_Lx              perc25_Lx              perc75_Lx              perc10_Lx              perc20_Lx              perc30_Lx              perc40_Lx              perc50_Lx              perc60_Lx              perc70_Lx              perc80_Lx              perc90_Lx
        1.000000e-01           9.927896e-01           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00
        1.059254e-01           1.051616e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00
        1.122018e-01           1.113928e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00
        1.188502e-01           1.179933e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00
        1.258925e-01           1.249848e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00
        1.333521e-01           1.323906e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00
        1.412538e-01           1.402353e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00
        1.496236e-01           1.485447e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00
        1.584893e-01           1.573465e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00
        1.678804e-01           1.666699e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00
        1.778279e-01           1.765457e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00
        1.883649e-01           1.870067e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           2.510344e+00
        1.995262e-01           1.980876e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           2.814182e+00
        2.113489e-01           2.098250e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           2.629367e+00
        2.238721e-01           2.222579e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           4.302477e+00
