                 SFR              median_Lx            expected_Lx              perc25_Lx              perc75_Lx              perc10_Lx              perc20_Lx              perc30_Lx              perc40_Lx              perc50_Lx              perc60_Lx              perc70_Lx              perc80_Lx              perc90_Lx
        1.000000e-01           1.129656e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           5.705149e+00
        1.059254e-01           1.196592e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           5.959597e+00
        1.122018e-01           1.267495e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           6.052408e+00
        1.188502e-01           1.342598e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           3.653434e+00           6.074575e+00
        1.258925e-01           1.422152e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           4.619468e+00           6.173282e+00
        1.333521e-01           1.506420e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           4.609158e+00           6.212642e+00
        1.412538e-01           1.595681e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           4.926111e+00           6.324126e+00
        1.496236e-01           1.690231e+00           0.000000e+00           0.000000e+00           8.201099e-01           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           5.115753e+00           6.492378e+00
        1.584893e-01           1.790384e+00           0.000000e+00           0.000000e+00           3.233275e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           5.164471e+00           6.561675e+00
        1.678804e-01           1.896471e+00           0.000000e+00           0.000000e+00           4.628104e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           5.349715e+00           6.784832e+00
        1.778279e-01           2.008843e+00           0.000000e+00           0.000000e+00           4.720409e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           5.516822e+00           6.933185e+00
        1.883649e-01           2.127875e+00           0.000000e+00           0.000000e+00           5.081385e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           8.804904e-01           5.597978e+00           7.096685e+00
        1.995262e-01           2.253959e+00           0.000000e+00           0.000000e+00           5.161294e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           4.244322e+00           5.666979e+00           7.199228e+00
        2.113489e-01           2.387515e+00           0.000000e+00           0.000000e+00           5.256257e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           4.645786e+00           5.755155e+00           7.496192e+00
        2.238721e-01           2.528984e+00           0.000000e+00           0.000000e+00           5.425111e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           4.729425e+00           5.922606e+00           7.583655e+00
        2.371374e-01           2.678836e+00           0.000000e+00           0.000000e+00           5.519800e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           5.060268e+00           6.016338e+00           7.713644e+00
        2.511886e-01           2.837567e+00           0.000000e+00           0.000000e+00           5.633319e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           5.175004e+00           6.145681e+00           8.118211e+00
        2.660725e-01           3.005703e+00           0.000000e+00           0.000000e+00           5.718480e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           5.245376e+00           6.242731e+00           8.407555e+00
        2.818383e-01           3.183802e+00           0.000000e+00           0.000000e+00           5.810204e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           1.733844e+00           5.424289e+00           6.405042e+00           8.822726e+00
        2.985383e-01           3.372454e+00           0.000000e+00           0.000000e+00           6.123294e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           4.651373e+00           5.634202e+00           6.657396e+00           1.031083e+01
        3.162278e-01           3.572285e+00           0.000000e+00           0.000000e+00           6.169157e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           4.714721e+00           5.687065e+00           6.787028e+00           1.077300e+01
        3.349654e-01           3.783956e+00           0.000000e+00           0.000000e+00           6.279052e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           5.045282e+00           5.799087e+00           6.975379e+00           1.117066e+01
        3.548134e-01           4.008170e+00           0.000000e+00           0.000000e+00           6.508132e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           5.191944e+00           6.020103e+00           7.263662e+00           1.153774e+01
